	nom	typerestaurant	ville	codepostal	rue	rue2	telephone	mobile	cravings	extras	prix	stationdemetro	Latitude	Longitude
14	La Buvette	Restaurant	Paris	75011	67, rue Saint-Maur		+33 9 83 56 94 11		Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Antidépresseur,  Manger seul 	Moins de 15 €	Rue Saint-Maur	48.8629024	2.3792240999999876
15	Bar à Momos 	Restaurant	Paris	75012	218, rue du Faubourg Saint-Antoine		+33 1 43 72 89 82		Lèche-doigts,  Tibétain	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Faim de nuit,  Manger seul 	Moins de 15 €	Faidherbe - Chaligny	48.8495649	2.3870848999999907
16	Restaurant Passerini	Restaurant	Paris	75012	65, rue Traversière		+ 33 1 43 42 27 56		Cuisine d'auteur,  Italien,  Néobistrot	Antidépresseur,  Terrasse	De 36 à 50 €	Ledru Rollin	48.8494184	2.374820600000021
17	Le Vitis	Restaurant	Paris	75015	8, rue Falguière		+33 1 42 73 07 02		Bistrot,  Terroir,  Bar à vins / Cave à manger	Kid friendly,  Antidépresseur,  Terrasse,  13 à table	De 16 à 35 €	Falguière	48.8438106	2.3171654000000217
18	Chez Alain Miam Miam	Restaurant	Paris	75003	26, rue Charlot		+33 9 86 17 28 00		Biocool,  Crêperie,  Sandwichs / Bagels,  Lèche-doigts	Ouvert le dimanche,  Take-away,  Manger seul 	Moins de 15 €	Temple,  Filles du Calvaire,  Arts et Métiers	48.86226010000001	2.3620224000000007
19	Banh Mi	Restaurant	Paris	75003	81, rue de Turbigo		+33 1 48 04 98 90		Asiatique,  Vietnamien,  Snack / Tartes / Salades / Soupes / Bols,  Sandwichs / Bagels,  Lèche-doigts	Ouvert le lundi,  Take-away,  Manger seul 	Moins de 15 €	Temple	48.86666719999999	2.3606803999999784
20	Maison David	Restaurant	Paris	75004	6, rue des Ecouffes		+33 1 77 18 23 62		Yiddish,  Sandwichs / Bagels,  Planches / Assiettes froides,  Lèche-doigts	Ouvert le dimanche,  Take-away,  Antidépresseur,  Brunch,  Manger seul 	Plus de 51 €	Saint-Paul,  Saint-Paul	48.8564745	2.3584253000000217
21	La Taverne de Zhao	Restaurant	Paris	75010	49, rue des Vinaigriers		+33 1 40 37 16 21 		Chinois	Ouvert le dimanche,  Take-away,  Manger seul 	De 16 à 35 €	Jacques Bonsergent,  Gare de l'Est,  Château d'Eau	48.87313409999999	2.360299199999986
22	SAaM	Restaurant	Paris	75010	59 bis, rue de Lancry		+33 9 83 50 84 94 		Coréen,  Taïwanais,  Lèche-doigts	Take-away,  Manger seul 	Moins de 15 €	Jacques Bonsergent,  Gare de l'Est	48.8721942	2.3626411999999846
23	Le Bougainville	Restaurant	Paris	75002	5, rue de la Banque		+33 1 42 60 05 19		Bistrot	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Bourse	48.8665455	2.3400839999999334
24	Coinstot Vino	Restaurant	Paris	75002	26 bis, passage des Panoramas		+33 1 44 82 08 54		Pizzas,  Bar à vins / Cave à manger	Ouvert le lundi,  Take-away,  Antidépresseur,  Faim de nuit,  Terrasse	De 16 à 35 €	Bourse,  Grands Boulevards,  Richelieu - Drouot	48.8706514	2.341592100000071
25	Le Baratin	Restaurant	Paris	75020	3, rue Jouye-Rouve		+33 1 43 49 39 70		Bistrot,  Cuisine d'auteur,  Bar à vins / Cave à manger	Antidépresseur,  Faim de nuit	De 36 à 50 €	Pyrénées	48.8731293	2.382917799999973
26	Miss Lunch	Restaurant	Paris	75012	3, rue Antoine-Vollon		+33 1 53 33 03 59		Cuisine du marché	Antidépresseur,  Brunch,  Terrasse,  Manger seul 	De 16 à 35 €	Ledru Rollin	48.8504446	2.3765937000000577
27	Rusidda	Restaurant	Paris	75003	1, rue Borda		+ 33 9 86 47 54 74		Italien	Take-away,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Arts et Métiers	48.8660764	2.357429400000001
28	Kodawari Yokocho 	Restaurant	Paris	75006	29, rue Mazarine		+ 33 9 70 91 12 41		Japonais	Ouvert le dimanche,  Antidépresseur	De 16 à 35 €	Odéon	48.8546579	2.338127100000065
29	Pianovins	Restaurant	Paris	75011	46, rue Trousseau		+33 1 48 06 95 85		Néobistrot	Antidépresseur,  Terrasse	De 36 à 50 €	Faidherbe - Chaligny,  Ledru Rollin	48.8523649	2.3792419999999765
30	Street Bangkok Roast & Beer	Restaurant	Paris	75002	112, rue Saint-Denis		+33 1 42 36 60 92		Asiatique,  Thaïlandais,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Terrasse	De 16 à 35 €	Etienne Marcel	48.8639143	2.3503427000000556
31	Jòia	Restaurant	Paris	75002	39, rue des Jeûneurs		+33 1 40 20 06 06		Bistrot	Ouvert le dimanche,  Ouvert le lundi,  Brunch,  Voir et se faire voir	De 36 à 50 €	Bourse,  Grands Boulevards	48.8697224	2.3434919000000036
32	Le Costes	Restaurant	Paris	75001	239-241, rue Saint-Honoré		+33 1 42 44 50 25		Nourritures mondaines	Ouvert le dimanche,  Ouvert le lundi,  Faim de nuit,  Terrasse,  Voir et se faire voir	Plus de 51 €	Tuileries	48.8666683	2.327974499999982
33	Autour du Yangtse	Restaurant	Paris	75009	12, rue du Helder		+33 1 53 34 05 78		Chinois	Ouvert le lundi,  Take-away,  Manger seul 	Moins de 15 €	Chaussée d'Antin - La Fayette	48.8720325	2.3350642000000335
34	Mokonuts	Restaurant	Paris	75011	5, rue Saint-Bernard		+ 33 9 80 81 82 85		Café / Coffee Shop,  Cuisine d'auteur,  Cuisine du marché,  Salon de thé / Pâtisserie	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	De 36 à 50 €	Faidherbe - Chaligny	48.8507906	2.3813834000000043
35	Jium	Restaurant	Paris	75015	26, rue Tiphaine		+33 1 45 75 20 00		Coréen	Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	La Motte-Picquet - Grenelle	48.8486977	2.296633199999974
36	Les Marches	Restaurant	Paris	75116	5, rue de la Manutention		+33 1 47 23 52 80		Bistrot	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	Iéna	48.86390129999999	2.2959468000000243
37	Bouillon Pigalle	Restaurant	Paris	75018	22, boulevard de Clichy 		+33 1 42 59 69 31		Brasserie	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Antidépresseur,  Faim de nuit,  Terrasse,  13 à table,  Manger seul 	De 16 à 35 €	Pigalle	48.8826517	2.3374635000000126
38	Papillon	Restaurant	Paris	75017	8, rue Meissonier		+ 33 1 56 79 81 88		Cuisine d'auteur,  Néobistrot,  Nourritures mondaines,  Table d'hôte	Ouvert le lundi,  Terrasse,  Voir et se faire voir,  Fais-moi mal,  13 à table	Plus de 51 €	Wagram	48.8834223	2.30475279999996
39	Vermillon	Restaurant	Paris	75009	5, rue de Calais		+ 33 1 42 41 49 68		Cuisine du marché	Antidépresseur,  Terrasse	De 16 à 35 €	Blanche,  Place de Clichy	48.8822195	2.3313728000000538
40	Le Chardenoux	Restaurant	Paris	75011	1, rue Jules-Vallès		+33 1 43 71 49 52		Néobistrot,  Poissons et fruits de mer	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Terrasse,  Voir et se faire voir,  Fais-moi mal,  Manger seul 	Plus de 51 €	Faidherbe - Chaligny,  Charonne,  Rue des Boulets 	48.8527401	2.3849338999999645
41	Early June	Restaurant	Paris	75010	19, rue Jean Poulmarch		+33142854074		Bar à vins / Cave à manger	Take-away,  Antidépresseur,  Terrasse	De 16 à 35 €	Jacques Bonsergent,  Gare de l'Est	48.87291459999999	2.363441200000011
42	Cantina	Restaurant	Paris	75010	11, rue Marie-et-Louise		Pas de téléphone. 		Néobistrot	Ouvert le dimanche,  Antidépresseur	De 16 à 35 €	République,  Jacques Bonsergent,  Goncourt	48.87188	2.366474499999981
43	Restaurant du Badaboum	Restaurant	Paris	75011	2, rue des Taillandiers		+33 1 85 09 75 46		Cuisine d'auteur,  Cuisine du marché,  Néobistrot,  Bar à vins / Cave à manger	Antidépresseur,  Terrasse,  13 à table,  Manger seul 	De 16 à 35 €	Ledru Rollin	48.85345299999999	2.3757510000000366
44	Gramme	Restaurant	Paris	75003	86, rue des Archives		+33 9 50 92 20 23		Café / Coffee Shop,  Snack / Tartes / Salades / Soupes / Bols	Ouvert le dimanche,  Take-away,  Antidépresseur,  Terrasse	Moins de 15 €	Temple,  Filles du Calvaire,  Arts et Métiers	48.86306279999999	2.360760199999959
45	Ngoc Xuyen Saigon 	Restaurant	Paris	75013	4, rue Caillaux 		+33 1 44 24 14 31		Asiatique,  Vietnamien	Ouvert le lundi,  Take-away,  Antidépresseur,  Manger seul 	De 16 à 35 €	Maison Blanche	48.82290320000001	2.361775800000032
46	Sucrépice	Restaurant	Paris	75005	5, rue d'Arras		+33 1 72 67 11 74		Chinois	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Antidépresseur,  Manger seul 	Moins de 15 €	Cardinal Lemoine	48.84736669999999	2.351738100000034
47	Chinaski	Restaurant	Paris	75005	46, rue Daubenton		+33 1 73 74 74 06		Café / Coffee Shop,  Cuisine d'auteur,  Néobistrot	Ouvert le dimanche,  Antidépresseur,  Terrasse,  13 à table,  Manger seul 	De 16 à 35 €	Censier - Daubenton	48.8403583	2.350235600000019
48	Adar	Restaurant	Paris	75002	49, passage des Panoramas			+33 6 64 49 18 68 	Cuisine du marché,  Méditerranéen,  Sandwichs / Bagels,  Lèche-doigts,  Israélien	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Grands Boulevards	48.8709479	2.341645900000003
49	Au Bon Coin	Restaurant	Paris	75005	21, rue de la Collégiale		+33 1 43 31 55 57		Néobistrot	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Antidépresseur,  Terrasse,  Manger seul 	De 36 à 50 €	Les Gobelins,  Place Monge	48.8381872	2.351853099999971
50	CoCo	Restaurant	Paris	75009	1, pl. Jacques-Rouché		+33 1 42 68 86 80		Brasserie,  Nourritures mondaines	Ouvert le dimanche,  Ouvert le lundi,  Terrasse,  Voir et se faire voir,  Fais-moi mal,  13 à table,  Manger seul 	Plus de 51 €	Opéra	48.8720588	2.3322736000000077
51	Déviant	Restaurant	Paris	75010	39, rue des Petites-Ecuries		Pas de téléphone. 		Bar à vins / Cave à manger,  Lèche-doigts	Faim de nuit,  Terrasse,  Manger seul 	De 16 à 35 €	Poissonnière,  Bonne Nouvelle,  Château d'Eau	48.8738211	2.35000279999997
52	Chez Joy	Restaurant	Paris	75014	84, rue Daguerre		+33 1 43 20 01 68		Asiatique,  Thaïlandais,  Vietnamien	Ouvert le lundi,  Take-away,  Terrasse,  13 à table,  Manger seul 	De 16 à 35 €	Gaîté,  Pernéty	48.83579109999999	2.3248510999999326
53	Colchide 	Restaurant	Paris	75018	97, rue des Poissonniers		+33 9 80 94 09 68		Géorgien	Ouvert le lundi,  Faim de nuit,  13 à table,  Manger seul 	De 16 à 35 €	Pigalle	48.8926232	2.352080399999977
54	L'Enoteca	Restaurant	Paris	75004	25, rue Charles-V		+33 1 42 78 91 44		Italien,  Pâtes	Ouvert le dimanche,  Ouvert le lundi	De 36 à 50 €	Saint-Paul,  Sully - Morland	48.8533138	2.3618052
55	Tanguy	Restaurant	Paris	75010	15, rue de l'Échiquier		+33 1 42 46 01 41		Crêperie	Ouvert le dimanche,  Kid friendly,  Manger seul 	Moins de 15 €	Bonne Nouvelle,  Château d'Eau,  Strasbourg-Saint-Denis	48.8711621	2.3518219
56	Fogón Ultramarinos	Restaurant	Paris	75007	38, rue de Verneuil		+33 1 43 54 31 33		Espagnol,  Tapas,  Sandwichs / Bagels,  Lèche-doigts	Take-away,  Antidépresseur	De 16 à 35 €	Rue du Bac,  Solférino	48.8580627	2.329070799999954
57	Plume	Restaurant	Paris	75007	24, rue Pierre-Leroux		+33 1 43 06 79 85		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Terrasse	De 36 à 50 €	Vaneau	48.8487714	2.319201000000021
58	Tounsia	Restaurant	Paris	75010	55, rue de Paradis			+33 7 66 68 37 21	Lèche-doigts,  Tunisien	Antidépresseur	De 16 à 35 €	Poissonnière,  Cadet	48.8755834	2.3487668000000212
59	Giulia	Restaurant	Paris	75014	26, rue Edouard Jacques		+33 1 77 35 03 19		Italien,  Pizzas	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Terrasse,  13 à table,  Manger seul 	De 16 à 35 €	Pernéty	48.8345894	2.3216810000000123
60	Cambuse	Restaurant	Paris	75019	43, quai de la Seine		+33 9 82 55 11 71		Bar à vins / Cave à manger	Ouvert le lundi,  Take-away,  Terrasse	De 16 à 35 €	Riquet,  Stalingrad	48.8865039	2.3732835
61	Le P’tit Pinard	Restaurant	Paris	75011	18, rue Saint-Ambroise		+33 9 87 02 00 11		Bistrot,  Tapas,  Bar à vins / Cave à manger	Ouvert le dimanche,  Take-away,  Kid friendly,  Antidépresseur,  Brunch	De 16 à 35 €	Saint-Maur,  Saint-Ambroise	48.8623743	2.3781413
62	Sürpriz	Restaurant	Paris	75011	 110, rue Oberkampf				Kebabs,  Lèche-doigts,  Turc	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	Moins de 15 €	Ménilmontant,  Parmentier,  Rue Saint-Maur	48.865999	2.379091
63	Kémia	Restaurant	Paris	75010	1, rue Bergère		+33 9 86 17 17 63		Cuisine du marché,  Méditerranéen,  Lèche-doigts	Ouvert le lundi,  Antidépresseur,  Terrasse		Bonne Nouvelle,  Grands Boulevards	48.8719938	2.3476571
64	Petite Fleur	Restaurant	Paris	75018	5, rue Damrémont		+33 1 42 58 98 75		Tapas,  Néobistrot	Terrasse	De 16 à 35 €	Blanche,  Lamarck-Caulaincourt,  Place de Clichy	48.8875346	2.3324419
65	Shinjuku Pigalle	Restaurant	Paris	75009	52, rue Condorcet		+33 1 42 06 18 14		Japonais	Antidépresseur,  Manger seul 	De 16 à 35 €	Anvers,  Pigalle	48.88030209999999	2.34318559999997
66	Dumbo	Restaurant	Paris	75009	64, rue Jean-Baptiste Pigalle		Pas de téléphone. 		Burgers	Take-away,  Antidépresseur,  Manger seul 	Moins de 15 €	Pigalle	48.8816541	2.3369591000000582
67	Basique	Restaurant	Paris	75011	164, av. Ledru-Rollin		+33 1 40 24 20 48		Tapas	Antidépresseur,  Terrasse	De 16 à 35 €	Voltaire	48.85662629999999	2.3794030999999904
68	Bontemps	Restaurant	Paris	75003	57, rue de Bretagne		+33 1 42 74 10 68		Salon de thé / Pâtisserie,  Snack / Tartes / Salades / Soupes / Bols	Ouvert le dimanche,  Take-away,  Kid friendly,  Antidépresseur,  Brunch,  Terrasse	De 16 à 35 €	Temple,  Arts et Métiers	48.8638169	2.360690100000056
69	Melt 17	Restaurant	Paris	75017	83, rue Legendre		+33 9 87 09 99 25 		Viandes / Grillades,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Kid friendly,  Antidépresseur,  Faim de nuit,  13 à table,  Manger seul 	De 16 à 35 €	La Fourche	48.8877859	2.3202774999999747
70	Mokoloco	Restaurant	Paris	75011	74, rue de Charonne				Japonais,  Sandwichs / Bagels	Antidépresseur,  Manger seul 	De 16 à 35 €	Faidherbe - Chaligny,  Ledru Rollin,  Charonne	48.8534502	2.3800439000000324
71	Freddy’s	Restaurant	Paris	75006	54, rue de Seine		Pas de téléphone.		Tapas,  Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	Mabillon	48.8540863	2.3368735000000243
72	Così	Restaurant	Paris	75006	54, rue de Seine		+33 1 46 33 35 36		Sandwichs / Bagels,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Manger seul 	Moins de 15 €	Mabillon	48.8540863	2.3368735000000243
73	Pizzou	Restaurant	Paris	75009	28, rue de Douai		+33 1 74 64 50 10		Italien,  Pizzas	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Kid friendly,  Faim de nuit,  Terrasse	De 16 à 35 €	Pigalle,  Blanche,  Place de Clichy	48.8825795	2.3329356000000416
74	Gare au Gorille 	Restaurant	Paris	75017	68, rue des Dames		+33 1 42 94 24 02		Cuisine d'auteur,  Cuisine du marché,  Néobistrot	Ouvert le lundi,  Antidépresseur	De 36 à 50 €	Rome	48.8835719	2.319894999999974
75	Pompette	Restaurant	Paris	75009	15, rue Hippolyte-Lebas			+33 6 62 85 04 87	Néobistrot,  Bar à vins / Cave à manger	Manger seul 	De 16 à 35 €	Cadet,  Notre-Dame de Lorette,  Saint-Georges,  Le Peletier	48.877075	2.3401496
76	Mesa	Restaurant	Paris	75009	68, rue des Martyrs		+33 1 77 37 87 21		Biocool,  Néobistrot,  Végétarien	Antidépresseur,  Brunch	De 36 à 50 €	Anvers,  Pigalle	48.88118069999999	2.340226
77	Chantoiseau	Restaurant	Paris	75018	63, rue Lepic		+33 1 42 51 39 95		Cuisine du marché,  Néobistrot	Ouvert le dimanche,  Antidépresseur	De 36 à 50 €	Blanche,  Lamarck-Caulaincourt,  Abbesses	48.8878044	2.3347482
78	Ama Siam	Restaurant	Paris	75019	49, rue de Belleville		+33 9 51 66 60 79		Asiatique,  Laotien,  Thaïlandais,  Vietnamien	Antidépresseur	De 16 à 35 €	Belleville,  Pyrénées	48.8731455	2.380934
79	Mar'Co	Restaurant	Paris	75001	4, rue de la Sourdière		+33 1 44 82 03 74		Nourritures mondaines	Ouvert le lundi,  Voir et se faire voir	De 16 à 35 €	Pyramides,  Tuileries	48.8652726	2.331833700000061
80	Pico	Restaurant	Paris	75001	110, rue Saint-Honoré		Pas de téléphone		Snack / Tartes / Salades / Soupes / Bols,  Lèche-doigts	Ouvert le lundi,  Take-away,  Terrasse,  Manger seul 	De 16 à 35 €	Louvre - Rivoli,  Les Halles	48.8616821	2.3417151999999533
81	Frenchie bar à vins	Restaurant	Paris	75002	6, rue du Nil		+33 1 40 39 96 19		Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Faim de nuit	De 36 à 50 €	Sentier	48.8678009	2.347908
82	La Main Noire	Restaurant	Paris	75018	12, rue Cavallotti				Café / Coffee Shop,  Végétarien	Ouvert le dimanche,  Take-away,  Brunch,  Terrasse,  Manger seul 	De 16 à 35 €	Place de Clichy	48.8865087	2.3281552
83	Trois Fois Plus de Piment	Restaurant	Paris	75003	184, rue Saint-Martin			+33 6 52 66 75 31	Asiatique,  Chinois	Ouvert le dimanche,  Take-away,  Antidépresseur,  Manger seul 	Moins de 15 €	Rambuteau	48.8628031	2.3524354
84	Okomusu	Restaurant	Paris	75003	11, rue Charlot		+33 1 57 40 97 27		Asiatique,  Japonais	Ouvert le dimanche,  Take-away,  Manger seul 	De 16 à 35 €	Filles du Calvaire,  Saint-Sébastien-Froissart	48.86149529999999	2.3607534000000214
85	Le Ruisseau Burger Joint	Restaurant	Paris	75003	22, rue Rambuteau		+33 1 43 70 02 21		Burgers,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Kid friendly,  Antidépresseur,  Faim de nuit,  Manger seul 	Moins de 15 €	Rambuteau	48.86115820000001	2.3545435999999427
86	Aux Prés	Restaurant	Paris	75006	27, rue du Dragon		+33 1 45 48 29 68 		Néobistrot	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Brunch,  Fais-moi mal,  Manger seul 	Plus de 51 €	Saint-Germain des Prés	48.85272399999999	2.33051219999993
87	Ze Kitchen Galerie	Restaurant	Paris	75006	4, rue des Grands-Augustins		+33 1 44 32 00 32		Cuisine d'auteur	Ouvert le lundi,  Antidépresseur,  Voir et se faire voir,  Fais-moi mal,  Manger seul 	Plus de 51 €	Saint-Michel	48.8549703	2.341129799999976
88	Yoshinori	Restaurant	Paris	75006	18, rue Grégoire de Tours		+33 9 84 19 76 05		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Fais-moi mal,  Manger seul 	Plus de 51 €	Mabillon,  Odéon	48.8530078	2.3377113999999892
89	Street Bangkok Seine	Restaurant	Paris	75006	73, rue de Seine		+33 1 42 03 63 25		Asiatique,  Thaïlandais	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Manger seul 	Moins de 15 €	Mabillon	48.8540893	2.3370927999999367
90	Le Clarence	Restaurant	Paris	75008	31, av. Franklin-Delano-Roosevelt		+33 1 82 82 10 10		Cuisine d'auteur	Antidépresseur,  Fais-moi mal	Plus de 51 €	Champs Elysées - Clémenceau	48.86743920000001	2.3098377000000028
91	Peco Peco	Restaurant	Paris	75009	47, rue Jean-Baptiste-Pigalle		+33 1 53 16 19 84		Asiatique,  Japonais	Ouvert le lundi,  Take-away,  Antidépresseur	De 16 à 35 €	Pigalle	48.8802525	2.3346105000000534
92	Clamato	Restaurant	Paris	75011	80, rue de Charonne		+33 1 43 72 74 53		Poissons et fruits de mer	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Terrasse,  Voir et se faire voir,  Manger seul 	De 36 à 50 €	Ledru Rollin,  Charonne	48.8535855	2.3807021999999733
93	Kigawa 	Restaurant	Paris	75014	186, rue du Château			+33 6 43 74 25 73	Cuisine d'auteur	Antidépresseur,  Terrasse,  Voir et se faire voir,  Fais-moi mal,  Manger seul 	Plus de 51 €	Pernéty	48.833134	2.3242692000000034
94	L'Archeste	Restaurant	Paris	75116	79, rue de la Tour		+ 33 1 40 71 69 68		Cuisine d'auteur	Fais-moi mal	Plus de 51 €	Rue de la Pompe	48.86174190000001	2.2780983000000106
95	Daroco 16	Restaurant	Paris	75016	3, pl. Clément-Ader		+33 1 44 14 91 91		Italien,  Pizzas	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Terrasse,  Voir et se faire voir	De 36 à 50 €	Charles Michels,  Jasmin	48.851537	2.277785999999992
96	Le Maquis	Restaurant	Paris	75018	53, rue des Cloys		+33 1 42 58 87 82		Cuisine du marché,  Néobistrot	Antidépresseur,  Terrasse	De 16 à 35 €	Lamarck-Caulaincourt,  Jules Joffrin	48.8931361	2.3372634
97	Mi Kwabo 	Restaurant	Paris	75009	42, rue Rodier			+33 7 64 05 69 32	Africain,  Cuisine d'auteur	Terrasse	De 36 à 50 €	Poissonnière,  Anvers,  Cadet	48.8795294	2.3435407
98	Fulgurances, L’Entrepôt	Restaurant	Paris	75014	7, rue Francis-de-Pressensé		+33 1 45 40 07 50		Cuisine d'auteur	Ouvert le dimanche,  Take-away,  Antidépresseur,  Terrasse,  13 à table	De 16 à 35 €	Pernéty	48.83397189999999	2.3165548
99	Eats Thyme 	Restaurant	Paris	75001	44, rue Coquillière		+33 1 42 33 21 15		Libanais	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	Moins de 15 €	Bourse,  Palais Royal-Musée du Louvre,  Louvre - Rivoli,  Les Halles	48.8646983	2.3407887
100	Le Truffaut	Restaurant	Paris	75017	89, rue Truffaut		+33 9 87 56 67 56 		Bistrot	Ouvert le lundi,  Terrasse,  Manger seul 	De 16 à 35 €	Brochant,  La Fourche	48.8886814	2.3166724
101	Balagan	Restaurant	Paris	75001	9, rue d'Alger		+33 1 40 20 72 14		Méditerranéen,  Israélien	Ouvert le dimanche,  Ouvert le lundi,  Voir et se faire voir,  13 à table	De 36 à 50 €	Tuileries	48.8654671	2.3296697000000677
102	Kitchen Ter(re)	Restaurant	Paris	75005	26, boulevard Saint-Germain		+33 1 42 39 47 48		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Terrasse	De 36 à 50 €	Maubert - Mutualité,  Cardinal Lemoine	48.8496179	2.353134100000034
103	Comice	Restaurant	Paris	75016	31, avenue de Versailles		+33 1 42 15 55 70		Cuisine d'auteur	Antidépresseur,  Fais-moi mal	Plus de 51 €	Mirabeau	48.849433	2.2762490999999727
